"","h","K","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"310",0.23,1.5,5496.53293449748,23439.5180115726,0.131294389367749,0.670624739615594
"311",0.23,1.6,9102.92404227134,27262.4416239125,0.2003678396325,0.718608121576276
"312",0.23,1.7,13744.2577639962,31288.1763188878,0.28000938900814,0.765239000464717
"313",0.23,1.8,19416.9093988058,35356.1506033121,0.368823123578707,0.805948509087809
"314",0.23,1.9,26015.7814826281,39342.3753075615,0.462238674701041,0.84071979794457
"315",0.23,2,33065.6772459377,43203.7086838064,0.552161262644752,0.867821774518378
"316",0.23,0.3,0.000572926376467702,385.773544085314,3.62129610472451e-07,0.275315968479484
"317",0.23,0.4,0.00414863293384731,1458.52685437436,1.02824190474154e-06,0.403474941600789
"318",0.23,0.5,0.0222423451576751,2619.02548355834,3.21384738136964e-06,0.430160728724544
"319",0.23,0.6,0.108586288,3835.837222,1.07275959887773e-05,0.439822427684548
"320",0.23,0.7,0.498663441660175,5134.23528369869,3.70935228986334e-05,0.446289964015636
"321",0.23,0.8,2.21388442080812,6537.90833586297,0.000131500230447698,0.455649713871978
"322",0.23,0.9,9.76964001765343,8076.92229039114,0.00048020032679929,0.468723697660815
"323",0.23,1,41.7340386891929,9798.78588051259,0.00174486990848002,0.485687568531889
"324",0.24,0.2,6.06731980626927e-18,4.85385647170314e-18,1.18776373522019e-06,1.18776388856865e-06
"325",0.24,1.1,69.0776356163421,11434.3592994353,0.00251408672716644,0.494355608330194
"326",0.24,1.2,232.339980074652,13537.5677145572,0.00749604623568312,0.51917471792697
"327",0.24,1.3,661.115421538414,15981.5620857686,0.0190759530595577,0.550901750442655
"328",0.24,1.4,1606.23632777551,18803.4714625624,0.0420275117179094,0.587493524415249
"329",0.24,1.5,3333.09215138774,21990.996250999,0.0796167882441514,0.629181288089304
"330",0.24,1.6,5971.79801277141,25514.2843471106,0.131447462483945,0.67252860917484
"331",0.24,1.7,9548.3459280657,29324.5381189344,0.194526802048179,0.717212790241031
"332",0.24,1.8,14071.4476995291,33314.089861938,0.267286373295532,0.759399442464504
"333",0.24,1.9,19539.7522904317,37344.7909633189,0.347175010243182,0.798032779351005
"334",0.24,2,25913.8227562143,41307.0898042028,0.432732981290486,0.829724879325221
"335",0.24,0.3,0.000282163885602237,383.155019926763,1.78347344753976e-07,0.273447199804826
"336",0.24,0.4,0.0019978876064939,1457.50855987992,4.951779997696e-07,0.403193248939152
"337",0.24,0.5,0.0104451510341255,2615.35751153094,1.50924378976517e-06,0.429558284216023
"338",0.24,0.6,0.050128636,3822.921795,4.95237257282869e-06,0.438341526872297
"339",0.24,0.7,0.226622400428879,5103.60215287494,1.68575084864162e-05,0.443627199631537
"340",0.24,0.8,0.981760163441392,6477.01521104718,5.83145563171667e-05,0.45140585888446
"341",0.24,0.9,4.17310175158513,7965.04582320619,0.000205117570479244,0.462231230667224
"342",0.24,1,17.5905584933679,9600.34336717579,0.000735448500851256,0.475851547725721
"343",0.25,0.2,2.78104970333845e-18,2.2248403497566e-18,5.44429845292989e-07,5.44429988953523e-07
"344",0.25,1.1,29.6181050253988,11174.4724296483,0.00107795358170251,0.483119602162631
"345",0.25,1.2,105.799805142465,13114.719536842,0.003413447099459,0.502958209317735
"346",0.25,1.3,321.369951329332,15330.923095159,0.00927287113049818,0.528473519903648
"347",0.25,1.4,837.38387345372,17878.1701690221,0.0219103253645769,0.558583516006946
"348",0.25,1.5,1888.61547371605,20773.6062690008,0.0451129135997256,0.59435071523857
"349",0.25,1.6,3691.96251475997,23997.9578824772,0.081265157179324,0.632559903235792
"350",0.25,1.7,6338.40590598479,27524.146884394,0.12913124851817,0.673179236648026
"351",0.25,1.8,9843.49945477664,31307.5716421462,0.186976729472678,0.713660572703404
"352",0.25,1.9,14213.9170628644,35253.362727418,0.252547561941823,0.75334038062936
"353",0.25,2,19441.5642896318,39242.6318407547,0.324653222920787,0.788256643661239
"354",0.25,0.3,0.000138663998319075,380.710010058309,8.76453620575627e-08,0.271702263506845
