"","h","Agg","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"68",0.11,1.3,26659.2354611355,22083.8304011909,1,0.989629611108356
"69",0.12,0.5,297.036681936336,6000.87242034891,0.0214597551572121,0.492805371602031
"70",0.12,1.4,27299.0623474833,22739.5363063631,1,0.994660081608278
"71",0.12,1.5,27909.4583348974,23055.8561227307,1,0.989471765244088
"72",0.12,1.6,28366.3454408538,23297.3883535296,0.999011452207601,0.982549851598233
"73",0.12,1.7,28717.4649884916,23485.4631194842,0.994595120211039,0.976483468953895
"74",0.12,1.8,28993.02425,23634.3152,0.991297615004451,0.969745670467269
"75",0.12,1.9,29213.011230416,23753.7567830854,0.986187128299906,0.964443085839746
"76",0.12,2,29391.1478612733,23850.7390478055,0.981601144470923,0.958167310844748
"77",0.12,-1,30427.0055482398,24408.054600633,0.917420658733113,0.889818996294302
"78",0.12,0.6,1501.58258475612,8550.9360417817,0.089007764885534,0.588277327410776
"79",0.12,0.7,4832.08821482144,11755.3787691231,0.251607420775774,0.715279899455225
"80",0.12,0.8,10226.1106931837,15120.0354122693,0.485928136120663,0.84301454904694
"81",0.12,0.9,16196.1502443304,17814.3499140189,0.71647030633144,0.930429549353304
"82",0.12,1,20567.6988653492,19658.8463680321,0.8599205819522,0.974412280160162
"83",0.12,1.1,23404.7753841092,20892.401319048,0.937000782996378,0.993593348118178
"84",0.12,1.2,25239.7636138646,21729.3062224662,0.977180603870851,1
"85",0.12,1.3,26455.639970983,22315.2482032724,0.992363040926312,1
"86",0.13,0.5,125.791447842799,5727.70288311589,0.00908794716524695,0.470372064263255
"87",0.13,1.4,26914.8884479028,22861.6154672612,0.985927212638645,1
"88",0.13,1.5,27765.6300531106,23277.6770948553,0.994846611494177,0.998991498004733
"89",0.13,1.6,28394.414676799,23595.0893376552,1,0.995105166955242
"90",0.13,1.7,28873.522908898,23842.4365936536,1,0.991325786289007
"91",0.13,1.8,29247.54767,24038.61959,1,0.986334787961708
"92",0.13,1.9,29545.2883676251,24196.5472881257,0.997404302495313,0.982421136426073
"93",0.13,2,29786.1188805391,24325.2946759774,0.994792327284678,0.977231864323797
"94",0.13,-1,31212.3220220302,25094.5687780773,0.941099149064884,0.914846527832987
"95",0.13,0.6,684.51779791127,7820.18038537695,0.0405754567447553,0.538003651822563
"96",0.13,0.7,2624.59099036813,10480.930116584,0.136662771936224,0.637733482453043
"97",0.13,0.8,6594.06927698289,13587.6702352154,0.313339439534,0.757577835210868
"98",0.13,0.9,12066.194534031,16567.717428022,0.533773147546481,0.865318910584358
"99",0.13,1,17506.2459679616,18840.7139325925,0.73192345527431,0.933860648748766
"100",0.13,1.1,21378.4900934803,20428.2890734893,0.855879265155092,0.971521263970202
