"","h","Agg","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"227",0.21,1.5,6901.15326434066,16174.8248500894,0.266988083870888,0.743445459292749
"228",0.21,1.6,9785.18632543307,17753.7788851017,0.369808070978453,0.797575858480121
"229",0.21,1.7,12976.8378783194,19133.9909539026,0.480043997787631,0.843323641501227
"230",0.21,1.8,16158.6588529093,20280.4453489531,0.587561310189383,0.878953029950373
"231",0.21,1.9,18884.6209441156,21221.5898578428,0.675334148210914,0.906584864727504
"232",0.21,2,21062.0109414188,21995.7621993303,0.743367197147951,0.927404231889882
"233",0.21,0.6,0.242396247035244,4575.18024320109,1.9306136233759e-05,0.414714680470611
"234",0.21,0.7,1.37893648868096,5744.61184547479,9.01263188803318e-05,0.431002968343303
"235",0.21,0.8,7.21365777053272,6756.44073677659,0.0004111913619142,0.445706428208273
"236",0.21,0.9,34.6506205979998,7729.37457331718,0.00178649563656498,0.46410096108252
"237",0.21,1,138.364946683799,8764.36403863525,0.00661107396378348,0.489798271886075
"238",0.21,1.1,443.310570492969,9950.31245115013,0.0199763808143034,0.525716816003288
"239",0.21,1.2,1163.51095826649,11329.6419025355,0.0498689900737845,0.572530550733755
"240",0.21,1.3,2492.26633832956,12868.7052797785,0.10252471352737,0.626328733651071
"241",0.22,0.5,0.0169061717381386,3063.7045207946,1.85180790761389e-06,0.375384465120902
"242",0.22,1.4,2784.16583361261,13470.2575096637,0.110952208750761,0.635106617744093
"243",0.22,1.5,4671.64625938878,14999.1619905662,0.180734123057616,0.689408323022502
"244",0.22,1.6,7002.94623651347,16538.9116140154,0.264659859583844,0.742998812491948
"245",0.22,1.7,9689.14841912801,17990.3617729891,0.358424570445376,0.792918604324269
"246",0.22,1.8,12652.5744392241,19266.6421371344,0.460073034677672,0.835014872307919
"247",0.22,1.9,15643.0835001059,20339.3195208615,0.559413318498619,0.868894336380511
"248",0.22,2,18288.9138670016,21230.7253943393,0.645492905592302,0.895148092544923
"249",0.22,0.6,0.105470350129565,4553.59312242209,8.40039799761247e-06,0.412757927857543
"250",0.22,0.7,0.590451527100368,5701.05284066435,3.85914964551633e-05,0.427734851910655
"251",0.22,0.8,3.01293816878928,6672.61219561459,0.000171742850630998,0.440176457456091
"252",0.22,0.9,14.4379051069772,7576.02109431441,0.00074438073632202,0.454893036648863
"253",0.22,1,61.24981969805,8495.55413561808,0.00292651497360511,0.47477577562927
"254",0.22,1.1,211.34036551302,9509.81210095846,0.00952338135819193,0.502443331608903
"255",0.22,1.2,598.895935261749,10679.6075543303,0.0256691483983062,0.539681805241588
