"","h","MPAProp","mpa_yield","mpa_prop_msy"
"168",0.25,0.5,15040.3938954257,0.999969239828741
"169",0.25,0.6,13360.1119708037,1
"170",0.25,0.7,10708.328608353,1
"171",0.25,0.8,7385.83438299165,1
"172",0.02,0,8196.37747314205,0.391622726772427
"173",0.02,0.1,7377.86199839708,0.381861319732643
"174",0.02,0.2,6559.34469682607,0.366570316231499
"175",0.02,0.3,5740.75605365612,0.343101322467005
"176",0.02,0.4,4921.80826122521,0.310732173867089
"177",0.02,0.5,4102.28322711658,0.272742660112749
"178",0.02,0.6,3282.01597441692,0.245657819454599
"179",0.02,0.7,2461.11619374034,0.229831963862274
"180",0.02,0.8,1640.01564558684,0.222048797812678
"181",0.03,0,11505.6313601673,0.549738801229192
"182",0.03,0.1,10361.8307419439,0.536304740157057
"183",0.03,0.2,9218.02040144882,0.515150950250038
"184",0.03,0.3,8073.89147780932,0.482543208176774
"185",0.03,0.4,6928.26170984224,0.437407088605983
"186",0.03,0.5,5780.0203566018,0.384287978251926
"187",0.03,0.6,4628.14088754274,0.346414827784136
"188",0.03,0.7,3472.92257836187,0.324319761316703
"189",0.03,0.8,2315.09083133287,0.313450141349519
"190",0.04,0,14322.9216670636,0.684348867165224
"191",0.04,0.1,12910.9400652295,0.66824082821944
"192",0.04,0.2,11498.9233427959,0.642619676342072
"193",0.04,0.3,10085.8867544443,0.602791871202821
"194",0.04,0.4,8668.40412068834,0.547268790944205
"195",0.04,0.5,7243.31903991858,0.481576232946087
"196",0.04,0.6,5807.92072097859,0.434720961446344
"197",0.04,0.7,4363.2752074986,0.407465568818559
"198",0.04,0.8,2910.59920758311,0.394078591077771
"199",0.05,0,16661.6721246482,0.796094310129606
"200",0.05,0.1,15041.9470438212,0.77853689195461
"201",0.05,0.2,13422.1154107664,0.750097657316449
"202",0.05,0.3,11799.5194835686,0.705208634794585
"203",0.05,0.4,10165.9542047532,0.64181473186643
"204",0.05,0.5,8514.68976151004,0.566104046702147
"205",0.05,0.6,6840.77899859833,0.512030064833866
"206",0.05,0.7,5147.45598064574,0.480696490452346
"207",0.05,0.8,3436.99097524939,0.465349044809915
"208",0.06,0,18522.8834452847,0.885022944136009
"209",0.06,0.1,16762.4205538434,0.867584679138061
"210",0.06,0.2,15001.6602923728,0.838370845190304
"211",0.06,0.3,13234.0643928481,0.790945469962602
"212",0.06,0.4,11442.2421413047,0.722391565411397
"213",0.06,0.5,9614.45978951031,0.639222889634867
"214",0.06,0.6,7743.96419480521,0.57963318059971
"215",0.06,0.7,5838.75995116406,0.545254088169236
"216",0.06,0.8,3903.21006838976,0.5284724603869
"217",0.07,0,19890.0958997789,0.950348323702866
"218",0.07,0.1,18067.8146263036,0.935148900776948
"219",0.07,0.2,16244.7309328976,0.90784010147375
"220",0.07,0.3,14405.5817828469,0.860962234661337
"221",0.07,0.4,12516.6449685542,0.790222636513927
"222",0.07,0.5,10561.087188563,0.702159956789715
"223",0.07,0.6,8532.82282572704,0.638678990443651
"224",0.07,0.7,6448.7692277382,0.602219960144654
"225",0.07,0.8,4316.93251124044,0.584488127865637
"226",0.08,0,20720.1669607523,0.990009099866298
"227",0.08,0.1,18936.212344344,0.980095187212743
"228",0.08,0.2,17150.1023236843,0.958436966308162
"229",0.08,0.3,15327.2329239921,0.916045523765523
