"","h","K","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"284",0.21,0.9,31.1855585381999,6956.43711598547,0.00178649563656498,0.46410096108252
"285",0.21,1,138.364946683799,8764.36403863525,0.00661107396378348,0.489798271886075
"286",0.22,0.2,3.14990600177735e-26,2.51992480142188e-26,6.35475957911683e-06,6.35475957911682e-06
"287",0.22,1.1,232.474402064322,10460.7933110543,0.00952338135819195,0.502443331608903
"288",0.22,1.2,718.675122314097,12815.5290651964,0.0256691483983062,0.539681805241588
"289",0.22,1.3,1840.42114949781,15618.5324071089,0.0582382043264914,0.584742085031088
"290",0.22,1.4,3897.83216705766,18858.3605135292,0.110952208750761,0.635106617744092
"291",0.22,1.5,7007.46938908317,22498.7429858493,0.180734123057616,0.689408323022505
"292",0.22,1.6,11204.7139784216,26462.2585824246,0.264659859583844,0.742998812491948
"293",0.22,1.7,16471.5523125176,30583.6150140815,0.358424570445376,0.792918604324269
"294",0.22,1.8,22774.6339906035,34679.9558468419,0.460073034677675,0.835014872307921
"295",0.22,1.9,29721.8586502012,38644.7070896368,0.559413318498618,0.868894336380511
"296",0.22,2,36577.8277340033,42461.4507886787,0.645492905592304,0.895148092544926
"297",0.22,0.3,3.09677030282436e-21,2.47741624227565e-21,6.35475957913066e-06,6.35475957917204e-06
"298",0.22,0.4,0.000869209455057702,456.370776525038,4.37495830184708e-07,0.245733732844145
"299",0.22,0.5,0.00845308586907265,1531.85226039733,1.85180790761459e-06,0.375384465120907
"300",0.22,0.6,0.063282210077739,2732.15587345325,8.4003979976125e-06,0.412757927857541
"301",0.22,0.7,0.413316068970258,3990.73698846505,3.85914964551633e-05,0.427734851910656
"302",0.22,0.8,2.41035053503143,5338.08975649168,0.000171742850630998,0.440176457456092
"303",0.22,0.9,12.9941145962795,6818.41898488297,0.000744380736322019,0.454893036648863
"304",0.22,1,61.24981969805,8495.55413561808,0.00292651497360511,0.47477577562927
"305",0.23,0.2,1.48219058853959e-26,1.18575247083167e-26,2.99023679922006e-06,2.99023679922005e-06
"306",0.23,1.1,107.095875323777,10099.4740323818,0.00438721361810628,0.485088771896984
"307",0.23,1.2,354.804172700058,12213.0455781755,0.0126726537187628,0.514310291178489
"308",0.23,1.3,981.599518882192,14715.5305278729,0.0310616911585947,0.550934606332826
"309",0.23,1.4,2287.12099410962,17634.0323027922,0.0651031432603354,0.593874032951156
"310",0.23,1.5,4497.61510765706,20945.7233479288,0.116000866675129,0.641820568236684
"311",0.23,1.6,7684.74736181476,24616.8090555363,0.181516829580126,0.691182872340017
"312",0.23,1.7,11873.9108709591,28571.57810388,0.258378890020943,0.740754022146808
