"","h","Disp","mpa_yield","mpa_prop_msy"
"141",0.24,1.25,9918.13017891728,0.543292044196509
"142",0.24,1.5,11395.6936829796,0.623702043374192
"143",0.24,1.75,13823.9399690609,0.712363070497441
"144",0.24,2,15128.1556953308,0.765525519948351
"145",0.25,0.25,2037.25767940935,0.121073524921689
"146",0.25,0.5,3991.00800375788,0.238109640901764
"147",0.25,0.75,6020.38870658269,0.35393560713316
"148",0.25,1,8019.86259482637,0.448191656849685
"149",0.25,1.25,9752.51266537062,0.534219902989815
"150",0.25,1.5,11178.2841001313,0.611802916840619
"151",0.25,1.75,13545.6797320077,0.69802400961406
"152",0.25,2,14813.2183393832,0.749588839495138
"153",0.02,0.25,6487.7348618981,0.385563856956505
"154",0.02,0.5,6551.53809319676,0.390874781823652
"155",0.02,0.75,6603.39921075153,0.388210499804523
"156",0.02,1,6559.34469682607,0.366570316231499
"157",0.02,1.25,6543.46774166441,0.358435904890578
"158",0.02,1.5,6568.97112780258,0.359528856185023
"159",0.02,1.75,6534.93163039809,0.336752327638867
"160",0.02,2,6535.13965775446,0.330695709721024
"161",0.03,0.25,9118.54820422028,0.541912191281254
"162",0.03,0.5,9190.06675082958,0.548293436606204
"163",0.03,0.75,9270.3731284546,0.545000547553174
"164",0.03,1,9218.02040144882,0.515150950250038
"165",0.03,1.25,9198.44960034462,0.503869620246841
"166",0.03,1.5,9228.76677893291,0.505103143167263
"167",0.03,1.75,9202.55725143476,0.474218056120935
"168",0.03,2,9204.2986818976,0.46576236232116
"169",0.04,0.25,11370.9601477115,0.675772260299748
"170",0.04,0.5,11431.9869687068,0.682049825344715
"171",0.04,0.75,11544.1911743098,0.678677160441997
"172",0.04,1,11498.9233427959,0.642619676342072
"173",0.04,1.25,11482.2224301272,0.628969370581886
"174",0.04,1.5,11510.885031471,0.630006624861884
"175",0.04,1.75,11512.7254667768,0.593263605141678
"176",0.04,2,11518.2005416511,0.582852043308775
"177",0.05,0.25,13257.2410821465,0.787873289066436
"178",0.05,0.5,13288.3207710186,0.792801538858213
"179",0.05,0.75,13436.7845872889,0.789941769975689
"180",0.05,1,13422.1154107664,0.750097657316449
"181",0.05,1.25,13417.9647649033,0.735004821934777
"182",0.05,1.5,13437.4022331226,0.735447570248147
"183",0.05,1.75,13491.1641495033,0.695214760743644
"184",0.05,2,13503.7302615291,0.683325207506288
"185",0.06,0.25,14778.075607688,0.878255963134106
"186",0.06,0.5,14759.6390320539,0.880582636379805
"187",0.06,0.75,14948.6894767704,0.878825893753466
"188",0.06,1,15001.6602923728,0.838370845190304
"189",0.06,1.25,15023.3413480054,0.822943607754784
"190",0.06,1.5,15025.1019229165,0.822344565581397
"191",0.06,1.75,15159.2471058455,0.781172939040413
"192",0.06,2,15183.7427389987,0.768338374427327
