"","t","mean","sd","q_025","q_975","surv_mean","surv_sd","surv_q_025","surv_q_975"
"125",125,30629767.8248895,7148877.01282139,17072098.3984945,37820263.8674971,30629767.8248895,7148877.01282139,17072098.3984945,37820263.8674971
"126",126,30900361.7237074,9210141.43027434,14093578.5287253,39454132.8744782,30900361.7237074,9210141.43027434,14093578.5287253,39454132.8744782
"127",127,26872023.8165808,10214223.535491,12227320.1230908,39730516.0090733,26872023.8165808,10214223.535491,12227320.1230908,39730516.0090733
"128",128,26872183.3762297,6731667.65858192,19814288.3722406,38084467.1560471,26872183.3762297,6731667.65858192,19814288.3722406,38084467.1560471
"129",129,30224591.0119416,6814686.30420767,19402709.5144384,38826091.7024954,30224591.0119416,6814686.30420767,19402709.5144384,38826091.7024954
"130",130,29543677.5126197,7397153.71110278,18866694.914604,39022509.7434662,29543677.5126197,7397153.71110278,18866694.914604,39022509.7434662
"131",131,29615970.2403429,6155637.64404933,21506488.2596639,37619883.2882342,29615970.2403429,6155637.64404933,21506488.2596639,37619883.2882342
"132",132,28235261.8343236,9045785.00401074,14934110.8503088,38826387.7205109,28235261.8343236,9045785.00401074,14934110.8503088,38826387.7205109
"133",133,29683045.7631159,8127735.1267189,16553286.5172233,37856588.1273727,29683045.7631159,8127735.1267189,16553286.5172233,37856588.1273727
"134",134,29341570.218614,6712997.51587157,19766260.459196,37584943.9957461,29341570.218614,6712997.51587157,19766260.459196,37584943.9957461
"135",135,28137005.0503504,7376911.01171254,18217107.6403165,39230414.4636695,28137005.0503504,7376911.01171254,18217107.6403165,39230414.4636695
"136",136,26228525.8493888,8821879.59923713,16169079.0130479,36772064.2659171,26228525.8493888,8821879.59923713,16169079.0130479,36772064.2659171
"137",137,25474235.6477636,10096864.7040694,8294083.80659243,39046222.4658938,25474235.6477636,10096864.7040694,8294083.80659243,39046222.4658938
"138",138,27111290.3634966,9281227.96878335,15003675.0214196,38183779.0929034,27111290.3634966,9281227.96878335,15003675.0214196,38183779.0929034
"139",139,28758528.372166,6519076.97121273,20955307.850641,38049954.037884,28758528.372166,6519076.97121273,20955307.850641,38049954.037884
"140",140,27710179.9058024,9757301.65031249,10589898.4602763,38868976.9823888,27710179.9058024,9757301.65031249,10589898.4602763,38868976.9823888
"141",141,28809509.5757635,7066770.63874958,18883679.4308925,37803724.1057404,28809509.5757635,7066770.63874958,18883679.4308925,37803724.1057404
"142",142,31532650.6000512,7462842.44750538,17223261.797174,37869112.2376766,31532650.6000512,7462842.44750538,17223261.797174,37869112.2376766
"143",143,29918987.3660669,8681874.84947615,14395787.6623328,38336563.0478735,29918987.3660669,8681874.84947615,14395787.6623328,38336563.0478735
"144",144,26895521.5148193,7262540.46577259,18029529.3125291,37919519.7107855,26895521.5148193,7262540.46577259,18029529.3125291,37919519.7107855
"145",145,31363943.0097175,6332509.97437283,22150664.6131818,39166577.4127331,31363943.0097175,6332509.97437283,22150664.6131818,39166577.4127331
"146",146,28202206.0318939,7318990.83354346,15041203.3545265,35647948.2407258,28202206.0318939,7318990.83354346,15041203.3545265,35647948.2407258
"147",147,32400967.2369023,6652258.60273292,19875030.9751254,39167415.0709279,32400967.2369023,6652258.60273292,19875030.9751254,39167415.0709279
"148",148,26727149.8905021,10248848.2969968,12144898.6839722,39264090.4476219,26727149.8905021,10248848.2969968,12144898.6839722,39264090.4476219
"149",149,33277479.4476861,5676848.16965715,23405759.8786111,39262061.9427295,33277479.4476861,5676848.16965715,23405759.8786111,39262061.9427295
"150",150,25612625.5245482,8887335.80487623,13280289.6253692,37782990.673637,25612625.5245482,8887335.80487623,13280289.6253692,37782990.673637
