"","t","meanAbun","meanSSB","meanCatch","cumCatch","meanSizeExt","meanSizeSSBExt","meanFecExt","totalFecExt","meanSizeSurv","meanSizeSSBSurv","meanFecSurv","totalFecSurv","name","isAllee","resDens","fishDens","resDensExt","fishDensExt","resDensExtSD","fishDensExtSD","resDensExtQ025","fishDensExtQ025","resDensExtQ975","fishDensExtQ975","catchExt","resDensSurv","fishDensSurv","resDensSurvSD","fishDensSurvSD","resDensSurvQ025","fishDensSurvQ025","resDensSurvQ975","fishDensSurvQ975","catchSurv","cumCatchSurv","cumCatchExt","propExtinct","ssbDensity","catchHa"
"91",16,26609224.991706,893070.738963443,18710.7417409648,321880.676978485,-1,-1,-1,-1,18.5863441245701,166.094431965902,54718.6691662555,291204275818.324,"Fert._0.775_NC",TRUE,NA,0.119076098528459,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.119076098528459,NA,0.010272927730766,NA,0.106931001387212,NA,0.14127298755303,18710.7417409648,321880.676978485,-17,0,0.119076098528459,24.9476556546197
"92",17,26447131.0694786,896775.545763639,18634.8720075303,340515.548986015,-1,-1,-1,-1,18.5531452668024,164.904940213774,54710.1639329244,289385375273.342,"Fert._0.775_NC",TRUE,NA,0.119570072768485,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.119570072768485,NA,0.0105971093181653,NA,0.107613504137734,NA,0.142360559288448,18634.8720075303,340515.548986015,-18,0,0.119570072768485,24.8464960100404
"93",18,32165402.5367853,896271.8158624,18424.970205983,358940.519191998,-1,-1,-1,-1,16.648684889474,165.092868171534,44843.9102493733,288484484898.913,"Fert._0.775_NC",TRUE,NA,0.119502908781653,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.119502908781653,NA,0.0105709822502361,NA,0.106233237017523,NA,0.139742868968099,18424.970205983,358940.519191998,-19,0,0.119502908781653,24.5666269413107
"94",19,32065665.0395978,895959.058242878,18275.4082200036,377215.927412002,-1,-1,-1,-1,16.859814475886,165.242312546418,44950.6515185255,288274506980.946,"Fert._0.775_NC",TRUE,NA,0.119461207765717,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.119461207765717,NA,0.00915377045089535,NA,0.105216325827319,NA,0.133404227901826,18275.4082200036,377215.927412002,-20,0,0.119461207765717,24.3672109600048
"95",20,28073414.5441803,903988.553581922,18350.065815861,395565.993227863,-1,-1,-1,-1,18.2742931127815,164.172239876854,51296.3670651176,288012835445.896,"Fert._0.775_NC",TRUE,NA,0.120531807144256,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.120531807144256,NA,0.00953130952593462,NA,0.102131497917534,NA,0.133028940523652,18350.065815861,395565.993227863,-21,0,0.120531807144256,24.466754421148
"96",21,29124860.7115267,915368.47609701,18450.5923151546,414016.585543017,-1,-1,-1,-1,17.8881541419298,163.371644887611,49474.8124901924,288189404501.151,"Fert._0.775_NC",TRUE,NA,0.122049130146268,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.122049130146268,NA,0.0109149367520693,NA,0.0979454170793167,NA,0.135432787248196,18450.5923151546,414016.585543017,-22,0,0.122049130146268,24.6007897535394
"97",22,28651579.4586275,922695.612616028,18343.0770244661,432359.662567484,-1,-1,-1,-1,18.0716207145401,163.656045325327,50520.6172204114,289499095717.904,"Fert._0.775_NC",TRUE,NA,0.123026081682137,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.123026081682137,NA,0.0115795498205022,NA,0.0963730059551301,NA,0.137965906957071,18343.0770244661,432359.662567484,-23,0,0.123026081682137,24.4574360326215
"98",23,28601117.91414,927943.769873579,18387.075759307,450746.738326791,-1,-1,-1,-1,18.0734800921031,163.946797771701,50930.878351199,291336011438.673,"Fert._0.775_NC",TRUE,NA,0.123725835983144,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.123725835983144,NA,0.0124486066605645,NA,0.0964999830670525,NA,0.141425300588708,18387.075759307,450746.738326791,-24,0,0.123725835983144,24.5161010124094
"99",24,30478025.0030852,928194.130896349,18668.6503632489,469415.38869004,-1,-1,-1,-1,17.4487012474005,164.38765863402,48037.7368527266,292819068977.806,"Fert._0.775_NC",TRUE,NA,0.123759217452847,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.123759217452847,NA,0.0129730576490801,NA,0.0993510325780399,NA,0.14268570534987,18668.6503632489,469415.38869004,-25,0,0.123759217452847,24.8915338176652
"100",25,22367690.7794334,926716.851318793,18832.0353057623,488247.423995802,-1,-1,-1,-1,20.8798350711094,164.629993547472,65622.4711765938,293564628692.066,"Fert._0.775_NC",TRUE,NA,0.123562246842506,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.123562246842506,NA,0.013216575319478,NA,0.10241993175122,NA,0.14549990665296,18832.0353057623,488247.423995802,-26,0,0.123562246842506,25.1093804076831
"101",26,26215335.3792843,926215.448659275,18831.5913357414,507079.015331543,-1,-1,-1,-1,18.6455601149232,164.643276321314,56046.4931407171,293855522903.331,"Fert._0.775_NC",TRUE,NA,0.12349539315457,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.12349539315457,NA,0.0142939494270444,NA,0.101468317236673,NA,0.147420116977951,18831.5913357414,507079.015331543,-27,0,0.12349539315457,25.1087884476552
"102",27,31725915.3845953,911330.952807867,18827.0650785805,525906.080410124,-1,-1,-1,-1,16.7312782422112,166.30328861736,46339.3807830645,294031854739.609,"Fert._0.775_NC",TRUE,NA,0.121510793707716,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.121510793707716,NA,0.0148808730457848,NA,0.0975951991429219,NA,0.144385398456764,18827.0650785805,525906.080410124,-28,0,0.121510793707716,25.1027534381074
"103",28,25157668.7986202,899405.16963023,18808.4975599219,544714.577970046,-1,-1,-1,-1,19.1305473657634,166.653479401269,58268.5852771278,293180353953.228,"Fert._0.775_NC",TRUE,NA,0.119920689284031,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.119920689284031,NA,0.0154678686245609,NA,0.0938212151533173,NA,0.143475519399922,18808.4975599219,544714.577970046,-29,0,0.119920689284031,25.0779967465625
"104",29,30744012.6389578,895739.627433395,18828.3626033174,563542.940573363,-1,-1,-1,-1,16.9918571720561,165.689973178483,47330.3224147728,291024806105.145,"Fert._0.775_NC",TRUE,NA,0.119431950324453,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.119431950324453,NA,0.0153119040479818,NA,0.0902645595142853,NA,0.139041252829842,18828.3626033174,563542.940573363,-30,0,0.119431950324453,25.1044834710899
"105",30,30324566.0419399,889034.524243254,18668.7000149305,582211.640588294,-1,-1,-1,-1,17.2493735939137,165.885003393401,47670.1543736221,289115348906.475,"Fert._0.775_NC",TRUE,NA,0.118537936565767,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.118537936565767,NA,0.0147863148867813,NA,0.0890908217150374,NA,0.132462458743111,18668.7000149305,582211.640588294,-31,0,0.118537936565767,24.8916000199073
"106",31,28444851.7681831,894791.55119834,18316.3279534557,600527.968541749,-1,-1,-1,-1,17.9487978017671,164.830925437466,50609.1524906625,287913968142.054,"Fert._0.775_NC",TRUE,NA,0.119305540159779,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.119305540159779,NA,0.0136172742531734,NA,0.090766714997991,NA,0.136449741305442,18316.3279534557,600527.968541749,-32,0,0.119305540159779,24.4217706046076
"107",32,25738979.9805823,901781.376238221,18278.0515302301,618806.020071979,-1,-1,-1,-1,18.9861596908042,164.210814861674,55843.6180869868,287471553596.847,"Fert._0.775_NC",TRUE,NA,0.120237516831763,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.120237516831763,NA,0.0128661664108931,NA,0.089412888826211,NA,0.134898634374799,18278.0515302301,618806.020071979,-33,0,0.120237516831763,24.3707353736402
"108",33,26902854.4576851,907115.982196915,18318.1334313508,637124.15350333,-1,-1,-1,-1,18.38563942606,164.283887217236,53518.1408738706,287958150955.126,"Fert._0.775_NC",TRUE,NA,0.120948797626255,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.120948797626255,NA,0.0131926624084316,NA,0.0887326665549792,NA,0.134494916800536,18318.1334313508,637124.15350333,-34,0,0.120948797626255,24.4241779084677
"109",34,29511255.1449052,904040.0335993,18292.7050507315,655416.858554062,-1,-1,-1,-1,17.4221505302421,165.094316440056,48899.9597511554,288619837758.388,"Fert._0.775_NC",TRUE,NA,0.120538671146573,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.120538671146573,NA,0.0140905098847076,NA,0.0861136335613575,NA,0.134026384729459,18292.7050507315,655416.858554062,-35,0,0.120538671146573,24.3902734009753
"110",35,29036484.5742991,898800.921665527,18453.8694178666,673870.727971928,-1,-1,-1,-1,17.6339878900907,165.505927383726,49734.8196446158,288824864683.287,"Fert._0.775_NC",TRUE,NA,0.119840122888737,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.119840122888737,NA,0.0132093066837158,NA,0.0890951855029146,NA,0.135788021539782,18453.8694178666,673870.727971928,-36,0,0.119840122888737,24.6051592238221
"111",36,25221961.688863,897252.696996556,18556.0109300177,692426.738901946,-1,-1,-1,-1,19.0958797671979,165.149224262323,57148.6720321357,288280323312.785,"Fert._0.775_NC",TRUE,NA,0.119633692932874,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.119633692932874,NA,0.0127682851400305,NA,0.0912473947420689,NA,0.13625335681827,18556.0109300177,692426.738901946,-37,0,0.119633692932874,24.7413479066902
"112",37,30647847.9257022,897078.001737981,18473.8726944634,710900.611596409,-1,-1,-1,-1,17.0304052009847,164.919502449131,46908.2136315768,287527159569.383,"Fert._0.775_NC",TRUE,NA,0.119610400231731,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.119610400231731,NA,0.0127727894859154,NA,0.092623514164159,NA,0.140995207754729,18473.8726944634,710900.611596409,-38,0,0.119610400231731,24.6318302592845
"113",38,33099998.5362232,892976.334882922,18306.7564670808,729207.36806349,-1,-1,-1,-1,16.4962354603653,165.399834137778,43376.9961285308,287155701672.026,"Fert._0.775_NC",TRUE,NA,0.119063511317723,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.119063511317723,NA,0.014434338310836,NA,0.0902212597381628,NA,0.144756441934804,18306.7564670808,729207.36806349,-39,0,0.119063511317723,24.4090086227744
"114",39,30207677.9655306,897921.938853396,18271.6355133555,747479.003576846,-1,-1,-1,-1,17.5179036611252,164.546198211396,47465.9672745781,286767330750.574,"Fert._0.775_NC",TRUE,NA,0.119722925180453,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.119722925180453,NA,0.0149055349437398,NA,0.0903023078648941,NA,0.145540772814549,18271.6355133555,747479.003576846,-40,0,0.119722925180453,24.362180684474
"115",40,24528820.5836016,910095.050842844,18342.507853812,765821.511430658,-1,-1,-1,-1,19.7695069470144,163.34148714102,58429.8816730653,286643216855.938,"Fert._0.775_NC",TRUE,NA,0.121346006779046,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.121346006779046,NA,0.0152563687204403,NA,0.0903635757845692,NA,0.146675998027715,18342.507853812,765821.511430658,-41,0,0.121346006779046,24.456677138416
"116",41,28865769.700084,920981.312969101,18292.8861495056,784114.397580163,-1,-1,-1,-1,17.8316144810243,163.22850543878,49841.9484180999,287745240888.067,"Fert._0.775_NC",TRUE,NA,0.12279750839588,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.12279750839588,NA,0.0133433533830488,NA,0.0964141689775392,NA,0.144439914374621,18292.8861495056,784114.397580163,-42,0,0.12279750839588,24.3905148660074
"117",42,25490140.1479652,919837.238014439,18260.1678049704,802374.565385134,-1,-1,-1,-1,19.1211490307654,164.515864355585,56843.1933512878,289788192996.442,"Fert._0.775_NC",TRUE,NA,0.122644965068592,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.122644965068592,NA,0.0115188206456699,NA,0.103601763666504,NA,0.142323606155238,18260.1678049704,802374.565385134,-43,0,0.122644965068592,24.3468904066272
"118",43,30505264.2867568,917378.033857604,18518.8416712336,820893.407056367,-1,-1,-1,-1,17.1706126650225,164.970748243535,47735.6949947909,291237998345.622,"Fert._0.775_NC",TRUE,NA,0.122317071181014,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.122317071181014,NA,0.010586006183937,NA,0.103145815272953,NA,0.139979262229352,18518.8416712336,820893.407056367,-44,0,0.122317071181014,24.6917888949781
"119",44,29355750.5572134,906367.538525566,18795.0886732836,839688.495729651,-1,-1,-1,-1,17.6202452660388,165.794064260056,49618.6327191126,291318441018.451,"Fert._0.775_NC",TRUE,NA,0.120849005136742,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.120849005136742,NA,0.00877448637269697,NA,0.10427962873605,NA,0.133958566975571,18795.0886732836,839688.495729651,-45,0,0.120849005136742,25.0601182310449
"120",45,31017862.1713237,904821.689415264,18753.6110623977,858442.106792049,-1,-1,-1,-1,17.1461129390363,165.158389450757,46813.8470633023,290413091183.787,"Fert._0.775_NC",TRUE,NA,0.120642891922035,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.120642891922035,NA,0.00803109275904648,NA,0.108017851598507,NA,0.131542358132111,18753.6110623977,858442.106792049,-46,0,0.120642891922035,25.0048147498636
"121",46,28608622.5623025,906039.947580341,18571.9662953259,877014.073087374,-1,-1,-1,-1,18.0247943391102,164.680907903465,50606.088794111,289554098733.018,"Fert._0.775_NC",TRUE,NA,0.120805326344045,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.120805326344045,NA,0.00667253126564104,NA,0.110266174435674,NA,0.129931575801719,18571.9662953259,877014.073087374,-47,0,0.120805326344045,24.7626217271012
"122",47,29199673.6592542,914430.29225136,18453.5746615982,895467.647748973,-1,-1,-1,-1,17.8247487898631,163.991941824396,49581.2455521526,289551237948.441,"Fert._0.775_NC",TRUE,NA,0.121924038966848,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.121924038966848,NA,0.00573600824006377,NA,0.112089455295614,NA,0.129730503736918,18453.5746615982,895467.647748973,-48,0,0.121924038966848,24.6047662154643
"123",48,32714255.7879646,919478.253615909,18392.2911821379,913859.938931111,-1,-1,-1,-1,16.8197056451565,164.068784212894,44361.2452124885,290249024590.793,"Fert._0.775_NC",TRUE,NA,0.122597100482121,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.122597100482121,NA,0.00613787139812856,NA,0.112066716244809,NA,0.130320637325041,18392.2911821379,913859.938931111,-49,0,0.122597100482121,24.5230549095172
"124",49,25731216.143526,924676.718321769,18502.8245457178,932362.763476828,-1,-1,-1,-1,19.3670452523816,164.02100250117,56600.8984872333,291281990578.555,"Fert._0.775_NC",TRUE,NA,0.123290229109569,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.123290229109569,NA,0.00709162765031556,NA,0.110035028428032,NA,0.13133541474695,18502.8245457178,932362.763476828,-50,0,0.123290229109569,24.6704327276238
"125",50,30629767.8248895,933499.138159767,18641.1775346112,951003.94101144,-1,-1,-1,-1,17.419732057489,163.54388477598,47736.9887259977,292434576267.336,"Fert._0.775_NC",TRUE,NA,0.124466551754636,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.124466551754636,NA,0.00749954728450111,NA,0.10950093177379,NA,0.133451570799071,18641.1775346112,951003.94101144,-51,0,0.124466551754636,24.8549033794815
"126",51,30900361.7237074,931313.09022623,18753.7208461923,969757.661857632,-1,-1,-1,-1,17.4185434895482,164.511793017824,47549.8685503683,293861627624.224,"Fert._0.775_NC",TRUE,NA,0.124175078696831,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.124175078696831,NA,0.00647191939675992,NA,0.11264117700058,NA,0.133865652991661,18753.7208461923,969757.661857632,-52,0,0.124175078696831,25.0049611282564
"127",52,26872023.8165808,934691.017530849,18785.7980572255,988543.459914857,-1,-1,-1,-1,18.8746342965635,164.339647831473,54901.5103750627,295062938872.988,"Fert._0.775_NC",TRUE,NA,0.124625469004113,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.124625469004113,NA,0.00539819182680556,NA,0.117487569838987,NA,0.1360069630875,18785.7980572255,988543.459914857,-53,0,0.124625469004113,25.0477307429673
"128",53,26872183.3762297,936585.10894954,18921.0325057636,1007464.49242062,-1,-1,-1,-1,18.7398171430703,164.243263251202,55018.8703254033,295695434507.449,"Fert._0.775_NC",TRUE,NA,0.124878014526605,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.124878014526605,NA,0.0062603571183351,NA,0.117991444635851,NA,0.138178299849964,18921.0325057636,1007464.49242062,-54,0,0.124878014526605,25.2280433410181
"129",54,30224591.0119416,932612.591732647,18981.0200063303,1026445.51242695,-1,-1,-1,-1,17.4643367797957,164.960177030843,49018.467271989,296312625065.622,"Fert._0.775_NC",TRUE,NA,0.124348345564353,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.124348345564353,NA,0.00902497500228714,NA,0.111567544288457,NA,0.137528187501162,18981.0200063303,1026445.51242695,-55,0,0.124348345564353,25.308026675107
"130",55,29543677.5126197,925919.263983831,18910.1414339292,1045355.65386088,-1,-1,-1,-1,17.7289834459242,165.512919403511,50180.9086221,296505716324.312,"Fert._0.775_NC",TRUE,NA,0.123455901864511,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,0.123455901864511,NA,0.0105498756719186,NA,0.107851798803903,NA,0.135837072886364,18910.1414339292,1045355.65386088,-56,0,0.123455901864511,25.2135219119055
