"","t","mean","sd","q_025","q_975","surv_mean","surv_sd","surv_q_025","surv_q_975"
"118",118,1095068.426932,99971.9967111901,1000987.00608299,1218889.2842007,1095068.426932,99971.9967111901,1000987.00608299,1218889.2842007
"119",119,1080803.37353199,111382.40502817,943864.065294859,1209477.89538133,1080803.37353199,111382.40502817,943864.065294859,1209477.89538133
"120",120,1055031.12604386,105052.036255357,910651.608853713,1177114.08975636,1055031.12604386,105052.036255357,910651.608853713,1177114.08975636
"121",121,1027477.95454289,99464.9045327828,905682.615568088,1158332.29195407,1027477.95454289,99464.9045327828,905682.615568088,1158332.29195407
"122",122,1009007.86856649,95236.5698989739,918061.469199182,1131682.28594056,1009007.86856649,95236.5698989739,918061.469199182,1131682.28594056
"123",123,993055.055349698,99676.5193247781,867246.928085375,1095481.70959868,993055.055349698,99676.5193247781,867246.928085375,1095481.70959868
"124",124,980554.841411086,116214.453755478,818774.468895241,1100024.26732156,980554.841411086,116214.453755478,818774.468895241,1100024.26732156
"125",125,978944.8058058,120749.880213487,807221.28413967,1109859.52787414,978944.8058058,120749.880213487,807221.28413967,1109859.52787414
"126",126,973592.32182283,112727.395022233,821628.555628476,1104698.6289083,973592.32182283,112727.395022233,821628.555628476,1104698.6289083
"127",127,977372.670863557,105659.957540231,830009.551004014,1089320.5470688,977372.670863557,105659.957540231,830009.551004014,1089320.5470688
"128",128,984955.497237997,93321.2925060585,855029.910459585,1083873.43551969,984955.497237997,93321.2925060585,855029.910459585,1083873.43551969
"129",129,1006578.75497785,81749.9019146398,891309.008921519,1090285.32397482,1006578.75497785,81749.9019146398,891309.008921519,1090285.32397482
"130",130,1018454.39919277,64534.6970203374,926750.604233155,1073728.74202301,1018454.39919277,64534.6970203374,926750.604233155,1073728.74202301
"131",131,1016496.52073423,52774.7801222321,937948.905802531,1059867.82307286,1016496.52073423,52774.7801222321,937948.905802531,1059867.82307286
"132",132,1020696.49274314,49132.8175747457,957892.536505346,1083640.09038217,1020696.49274314,49132.8175747457,957892.536505346,1083640.09038217
"133",133,1015424.14298152,62592.615799535,957262.833188392,1106428.93228606,1015424.14298152,62592.615799535,957262.833188392,1106428.93228606
"134",134,1021602.46529969,67066.4254890511,958422.813861319,1120219.89085966,1021602.46529969,67066.4254890511,958422.813861319,1120219.89085966
"135",135,1030002.68691182,64790.9198768042,963178.091604469,1123506.93112561,1030002.68691182,64790.9198768042,963178.091604469,1123506.93112561
"136",136,1044524.72959091,68618.0037560401,962655.983484108,1132901.30688531,1044524.72959091,68618.0037560401,962655.983484108,1132901.30688531
"137",137,1058692.60946567,73414.0664814651,967113.064969365,1139173.55501631,1058692.60946567,73414.0664814651,967113.064969365,1139173.55501631
"138",138,1072821.3189603,72303.4995113681,976373.58110679,1130601.06040941,1072821.3189603,72303.4995113681,976373.58110679,1130601.06040941
"139",139,1080100.27700631,72535.9434301095,983056.690221997,1143727.95755393,1080100.27700631,72535.9434301095,983056.690221997,1143727.95755393
"140",140,1077618.05606422,78036.0973352858,963955.142506227,1152158.82252724,1077618.05606422,78036.0973352858,963955.142506227,1152158.82252724
"141",141,1073706.3596969,81339.3852615484,951916.988501743,1149835.37990357,1073706.3596969,81339.3852615484,951916.988501743,1149835.37990357
"142",142,1059856.6843174,76603.740976344,941789.344902631,1115097.18834536,1059856.6843174,76603.740976344,941789.344902631,1115097.18834536
"143",143,1040531.96485354,71294.949910365,936196.750198239,1094901.23750037,1040531.96485354,71294.949910365,936196.750198239,1094901.23750037
"144",144,1029910.04992393,78608.585960104,937445.174212452,1095965.36319032,1029910.04992393,78608.585960104,937445.174212452,1095965.36319032
"145",145,1028261.39753992,97812.6383317837,886491.734806473,1105199.451337,1028261.39753992,97812.6383317837,886491.734806473,1105199.451337
"146",146,1038336.89327263,113787.386154994,868503.883609328,1122427.13927202,1038336.89327263,113787.386154994,868503.883609328,1122427.13927202
"147",147,1051844.33574651,115934.716357825,876611.295370631,1141423.23077167,1051844.33574651,115934.716357825,876611.295370631,1141423.23077167
"148",148,1068817.28593702,100844.578368191,915145.016434112,1144734.24720221,1068817.28593702,100844.578368191,915145.016434112,1144734.24720221
"149",149,1081026.63410897,80172.8611023577,957399.578578382,1139538.85167697,1081026.63410897,80172.8611023577,957399.578578382,1139538.85167697
"150",150,1089854.28904042,63706.0349481222,991796.444243649,1137375.87998411,1089854.28904042,63706.0349481222,991796.444243649,1137375.87998411
