"","t","mean","sd","q_025","q_975","surv_mean","surv_sd","surv_q_025","surv_q_975"
"61",61,32703036.0210043,5113765.71140144,27738310.3273122,39082925.9207487,32703036.0210043,5113765.71140144,27738310.3273122,39082925.9207487
"62",62,31567269.0085839,6400869.38386966,24377717.2994212,38514011.5199497,31567269.0085839,6400869.38386966,24377717.2994212,38514011.5199497
"63",63,27223636.4947842,10842498.5134485,14468855.6709685,38426123.5071641,27223636.4947842,10842498.5134485,14468855.6709685,38426123.5071641
"64",64,29289791.3765785,12844352.9934612,14906544.5957864,39597310.7500323,29289791.3765785,12844352.9934612,14906544.5957864,39597310.7500323
"65",65,32875598.3311768,6790094.10988777,24729653.7741111,39119441.5959976,32875598.3311768,6790094.10988777,24729653.7741111,39119441.5959976
"66",66,31670002.8643058,5285696.83801554,26871059.305196,39273748.8081868,31670002.8643058,5285696.83801554,26871059.305196,39273748.8081868
"67",67,34161288.7406174,5484219.83443328,26538751.2586536,39024204.6807672,34161288.7406174,5484219.83443328,26538751.2586536,39024204.6807672
"68",68,23829722.8238612,9440232.58282567,14204288.5478231,35337877.0889728,23829722.8238612,9440232.58282567,14204288.5478231,35337877.0889728
"69",69,29991484.7687091,3134519.30605156,26867212.9571067,34490290.2126637,29991484.7687091,3134519.30605156,26867212.9571067,34490290.2126637
"70",70,32727029.7715277,7519737.93767877,21574550.891447,38641073.6497723,32727029.7715277,7519737.93767877,21574550.891447,38641073.6497723
"71",71,25748125.7199854,7868689.10089381,17950260.7563212,36904226.1879672,25748125.7199854,7868689.10089381,17950260.7563212,36904226.1879672
"72",72,24000672.4393577,8477965.45931788,13789246.0671757,35132488.0733591,24000672.4393577,8477965.45931788,13789246.0671757,35132488.0733591
"73",73,30477164.5884262,6015494.22297945,23432288.3961984,36986391.3080242,30477164.5884262,6015494.22297945,23432288.3961984,36986391.3080242
"74",74,34190588.1923537,3762996.75700942,29730225.1638958,38890754.4478222,34190588.1923537,3762996.75700942,29730225.1638958,38890754.4478222
"75",75,28244884.0781633,11462100.4400881,13770052.5848587,38432370.6567383,28244884.0781633,11462100.4400881,13770052.5848587,38432370.6567383
"76",76,21230824.7188685,10926463.6721073,7019449.30358245,34968790.8600585,21230824.7188685,10926463.6721073,7019449.30358245,34968790.8600585
"77",77,30157331.2000042,9035681.92350272,18949066.0411281,39215321.7240371,30157331.2000042,9035681.92350272,18949066.0411281,39215321.7240371
"78",78,32304619.8882792,5267497.18586171,25286560.4922715,38537265.223689,32304619.8882792,5267497.18586171,25286560.4922715,38537265.223689
"79",79,30994890.2217603,8672294.28720371,20139157.245636,38875178.8864778,30994890.2217603,8672294.28720371,20139157.245636,38875178.8864778
"80",80,29751761.1708136,6754912.17135671,24326088.6238145,39252354.25639,29751761.1708136,6754912.17135671,24326088.6238145,39252354.25639
"81",81,32025998.8704264,9926962.39680214,16797106.0343844,38950332.0139768,32025998.8704264,9926962.39680214,16797106.0343844,38950332.0139768
"82",82,37655814.4954951,1752250.38743049,35538436.6774053,40002148.0198061,37655814.4954951,1752250.38743049,35538436.6774053,40002148.0198061
"83",83,26950557.7309305,11246437.118541,15356865.6072311,39859499.7025369,26950557.7309305,11246437.118541,15356865.6072311,39859499.7025369
"84",84,25344499.6152375,13055676.9520566,7924107.42585824,38170216.9194179,25344499.6152375,13055676.9520566,7924107.42585824,38170216.9194179
"85",85,25760637.9693396,4449010.6067348,21065028.133437,31396149.1252341,25760637.9693396,4449010.6067348,21065028.133437,31396149.1252341
"86",86,29703275.554027,8184969.93553363,21353063.8050179,38799602.1109719,29703275.554027,8184969.93553363,21353063.8050179,38799602.1109719
"87",87,33423662.9266721,6968299.17823838,23763370.4141433,39384663.4452911,33423662.9266721,6968299.17823838,23763370.4141433,39384663.4452911
"88",88,24334778.081277,7912938.85871544,14699713.0834597,34644317.1935452,24334778.081277,7912938.85871544,14699713.0834597,34644317.1935452
"89",89,31324700.4722457,6304932.8617191,24146104.4592797,37757216.0616027,31324700.4722457,6304932.8617191,24146104.4592797,37757216.0616027
"90",90,28451787.0042491,7308432.79163003,19520325.4615455,36387126.7629328,28451787.0042491,7308432.79163003,19520325.4615455,36387126.7629328
"91",91,30377807.8416735,10601400.1293101,15779101.4208461,39219668.1211504,30377807.8416735,10601400.1293101,15779101.4208461,39219668.1211504
"92",92,36359495.6423181,2438983.28920086,33696042.5565055,38936185.9528269,36359495.6423181,2438983.28920086,33696042.5565055,38936185.9528269
"93",93,23190324.5101131,10059974.3611017,13066097.6350244,34912044.3294226,23190324.5101131,10059974.3611017,13066097.6350244,34912044.3294226
"94",94,24209072.0993779,8001848.23148562,13321252.7247231,33698941.5458358,24209072.0993779,8001848.23148562,13321252.7247231,33698941.5458358
"95",95,31852498.3042452,7256835.80988455,22842879.5625028,39104766.5795876,31852498.3042452,7256835.80988455,22842879.5625028,39104766.5795876
"96",96,31359406.5681011,7291452.22720081,23814898.0857713,39350168.6541604,31359406.5681011,7291452.22720081,23814898.0857713,39350168.6541604
"97",97,31979999.7964394,5698846.27508575,24047804.1166429,38469514.5383659,31979999.7964394,5698846.27508575,24047804.1166429,38469514.5383659
"98",98,30014760.2699766,7303278.04221336,19471999.3168146,37611217.1509052,30014760.2699766,7303278.04221336,19471999.3168146,37611217.1509052
"99",99,26232116.3884733,12756413.1961674,9438993.56466502,38054749.1299708,26232116.3884733,12756413.1961674,9438993.56466502,38054749.1299708
"100",100,33134133.8343143,3875932.51078221,27289997.1699004,36658057.1428084,33134133.8343143,3875932.51078221,27289997.1699004,36658057.1428084
"101",101,34357731.0804796,4015953.56280841,29102167.3248134,38965299.7547049,34357731.0804796,4015953.56280841,29102167.3248134,38965299.7547049
"102",102,34075715.0742244,5777260.77106359,25699353.1808032,39048407.6202622,34075715.0742244,5777260.77106359,25699353.1808032,39048407.6202622
"103",103,32611294.0625503,8713726.91363584,21836417.7303236,39556422.2769445,32611294.0625503,8713726.91363584,21836417.7303236,39556422.2769445
"104",104,31725135.7672883,5785100.36093241,23645155.0893883,38053181.6878357,31725135.7672883,5785100.36093241,23645155.0893883,38053181.6878357
"105",105,32614647.8652004,3806993.86754273,30403320.643767,38586000.3877302,32614647.8652004,3806993.86754273,30403320.643767,38586000.3877302
"106",106,34975530.7804264,4888495.47569871,27641674.511172,39274982.9602422,34975530.7804264,4888495.47569871,27641674.511172,39274982.9602422
"107",107,30858888.3383184,6507664.79692966,22619854.8243111,38959622.4686483,30858888.3383184,6507664.79692966,22619854.8243111,38959622.4686483
"108",108,33710545.1964476,5854094.20218404,24972827.9064556,38637767.6804521,33710545.1964476,5854094.20218404,24972827.9064556,38637767.6804521
"109",109,37898338.4281583,1752155.73630293,35886524.8813253,39944034.2457807,37898338.4281583,1752155.73630293,35886524.8813253,39944034.2457807
"110",110,32085826.0625566,5926363.50120445,23633594.0361256,37034286.5675004,32085826.0625566,5926363.50120445,23633594.0361256,37034286.5675004
