"","t","mean","sd","q_025","q_975","surv_mean","surv_sd","surv_q_025","surv_q_975"
"136",136,927274.280699774,82399.0643634612,787991.279980649,1037880.45645596,927274.280699774,82399.0643634612,787991.279980649,1037880.45645596
"137",137,924999.013717056,82942.2448050977,781147.713201817,1047204.75087785,924999.013717056,82942.2448050977,781147.713201817,1047204.75087785
"138",138,916924.460237734,83394.120747884,789458.871189356,1063499.81876095,916924.460237734,83394.120747884,789458.871189356,1063499.81876095
"139",139,904385.899908376,85820.8169384335,796608.603445656,1059593.38337304,904385.899908376,85820.8169384335,796608.603445656,1059593.38337304
"140",140,893563.759398886,94007.8597748532,797359.491276803,1059809.17080307,893563.759398886,94007.8597748532,797359.491276803,1059809.17080307
"141",141,888195.905220361,95404.8011607767,783905.331153778,1039505.05875827,888195.905220361,95404.8011607767,783905.331153778,1039505.05875827
"142",142,886038.825456264,105810.845384378,760766.855030435,1041361.00630128,886038.825456264,105810.845384378,760766.855030435,1041361.00630128
"143",143,889402.613914979,107683.285265915,744784.826571979,1042136.84219761,889402.613914979,107683.285265915,744784.826571979,1042136.84219761
"144",144,899666.336035822,104685.453370714,742033.833696109,1057154.6967456,899666.336035822,104685.453370714,742033.833696109,1057154.6967456
"145",145,909147.919324763,100792.009966583,760206.338805534,1073571.51344366,909147.919324763,100792.009966583,760206.338805534,1073571.51344366
"146",146,913178.625903226,99886.8221084249,779525.864121818,1082712.4070005,913178.625903226,99886.8221084249,779525.864121818,1082712.4070005
"147",147,920557.358179308,96214.5654941832,804362.560308475,1083981.35035797,920557.358179308,96214.5654941832,804362.560308475,1083981.35035797
"148",148,922708.207601397,96746.186319556,793327.202208429,1082716.63715832,922708.207601397,96746.186319556,793327.202208429,1082716.63715832
"149",149,931296.579019325,103945.885937505,772412.100703694,1093196.34348603,931296.579019325,103945.885937505,772412.100703694,1093196.34348603
"150",150,931279.695558955,120327.613936227,737062.66145913,1099722.50404868,931279.695558955,120327.613936227,737062.66145913,1099722.50404868
